0 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Well said James and absolutely correct! | 2
1 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods @NateevAmerican American’s 1st!  Enough is enough!  These politicians in CA need to go!  They need… https://t.co/GT79BXC06I | 2
2 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Roll out the tanks | 2
3 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Please WATCH AND RETWEET THIS👇\nhttps://t.co/Ln4338Pm80 | 2
4 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods And Mexico is allowing this invasion group to just freely walk across their country to the U. S. ok… https://t.co/as1MUMFhkH | 2
5 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Well SECURED By Military.... 3. | 2
6 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Finally that bloated $1.3T budget bill would be at least put to some good use | 1
7 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Great news | 2
8 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods @PatriotPorn No, you woman abusing, drug and alcohol abusing POS, our nations biggest challenge ar… https://t.co/u3BperzugY | 0
9 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Outstanding! | 2
10 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Bring it trump.. line our boarders heavily with our awesome military!! | 2
11 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Still wondering why every news report calls these people "migrants" instead of "invaders"? | 2
12 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Border savants cant comprehend the true purpose of these distractions nor the absolute deceit in w… https://t.co/pzHjPMapkV | 2
13 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Don’t catch and release. Catch and kick back to Mexico. | 2
14 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Will somebody give this poor lonely man some work already so he might stop believing he is relevant | 0
15 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods 100% correct woods‼️👍👍 | 2
16 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Democrats fight for illegals not for citizens. They want to saturate our country with thousands/mil… https://t.co/VS1fPhIWQq | 2
17 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods The ignorant immoral hypocrtical Conservative is a much bigger problem unfortunately | 0
18 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Correct | 2
19 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods The Democrats of today are liars, thats the platform they stand on. Lie about everything, twist th… https://t.co/2LXGXJJAay | 2
20 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Thank you Mr.President!! | 2
21 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods @MAGA4TRUMP2020 Sad that the topic of ILLEGAL aliens needs to be debated. | 2
22 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods @spatterson710 Allow the third world here and here becomes the third world. | 2
23 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods @dos_mimosas Thank You!! | 2
24 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Yep. Unfortunately the liberals will be hysterical and screaming about the National Guard, et al. P… https://t.co/b3Kj1OOKPV | 2
25 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods GOD BLESS AMERICA AND THE MILITARY THAT PROTECTS HER! AMEN. Thank you @realDonaldTrump | 2
26 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Illegal immigration is just that: illlegal | 2
27 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods It’s an invasion! Keep our borders secure! | 2
28 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods SO RIGHT!🐘🍀🐘 | 2
29 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Immigration is great, flooding in across the border is not. | 2
30 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods All are welcome... Thru LEGAL channels! We are a land of laws... All laws must be obeyed. All who h… https://t.co/BxvnUkLmF6 | 2
31 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Illegals voting democrat.... | 2
32 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods T.  C | 1
33 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods T.   C https://t.co/9kIOKeVO5I | 1
34 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods It looks like the Democrats make a living off of those they turn into their, brainwashed, subjects or peasants. | 2
35 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods You are so good!!!! Not only as an actor but on Twitter. Always spot on!! | 2
36 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods eloquent | 2
37 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Speaking of illegal immigration....tell us again how Melania and her parents managed to stay here. | 0
38 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Q: What do you call a threat to national security?\nA: Target | 1
39 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods And it is a pleasure watching the sinking of the Democratic ship. 🚧 https://t.co/8S0Th2bBDL | 2
40 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods #REMEMBER THE ALAMO. GO TRUMP! | 2
41 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods @LindaSuhler @realDonaldTrump 👏 👏 👏 👏 👏 👏 👏 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸\n#AmericaFirst… https://t.co/hfhhjz79Mn | 2
42 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Dead on......\n\n@WhiteHouse @GOP @realDonaldTrump | 2
43 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods It’s the mentality of, “if I go down, I’ll bring everyone with me.” This is not American. Otherwise… https://t.co/vr8BCEIQmX | 2
44 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods @soonermaterial Im not very welcoming to these ideologies: https://t.co/Wf8fMjVeHj | 2
45 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods The DEM Leftist open border radicals have ruined our\n Country FOREVER. YOU CAN THANK OBAMA and the… https://t.co/YrK33MXt85 | 2
46 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Please save us Mr President \nWidow of Disabled Veteran | 2
47 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Well said. | 2
48 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods And to change American culture forever. | 2
49 | James Woods | The ILLEGAL immigration catastrophe is our nation’s biggest challenge, not because we Americans are not a welcoming… https://t.co/S34PJ8456L | @RealJamesWoods Thank goodness! | 2
50 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump You’re horrible at this leadership thing aren’t you? What good comes from putting troops on a bord… https://t.co/NSvzmEcdNE | 0
51 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Absolutely.  Taking command has what we have needed, since our last leader had no spine. | 2
52 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Everything you say is a lie. https://t.co/rxls1bK4is | 0
53 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump DON’T BELIEVE A SINGLE THING YOU SAY! LYING D | 0
54 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Send the Army and the Marines!! Guard the boarders... I agree 100% Mr. President. | 2
55 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Trump, issue immigrants clear backpacks. That should do the trick. | 2
56 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump 🇺🇸 | 0
57 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Atta boy Donnie! Rile up those followers. Keep up the heat so they will think you know what you’re… https://t.co/ZJBKjZnq2R | 1
58 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump While letting Russians take over our country | 0
59 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Your Awesome Mr. President! Thank You. | 2
60 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Yes use the military! | 2
61 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Youre a puppet president, but im sure you already know that (but as usual deny the things you do… https://t.co/vuZTfBBLS0 | 0
62 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump No, you arent building your wall with the 1.6$ billion. It specifically says you can NOT build yo… https://t.co/1eierYAOru | 0
63 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump The Posse Comitatus Act is a United States federal law. The purpose of the act limit the powers of… https://t.co/84VCBBZGYd | 1
64 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Fakest President ever.\nFakest First Lady ever.\nThese fools deserve each other!\n\n#SleeperCell… https://t.co/azrpnn7LVw | 0
65 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump YOU WILL BE IMPEACHED!!  #MuellerIsComingForYou | 0
66 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump YOU CAN’T EVEN PROTECT SCHOOLS AND OFFICE BUILDINGS YOU STUPID IDIOT BUT JUST KEEP BULLSHITING ABOUT YOUR STUPID WALL MORAN | 0
67 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump really,....then whos going to protect us from you?????? | 0
68 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Protect the border of the Oval Office and stopgiving russian secrets. | 0
69 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Thank you. | 2
70 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump How about protecting YOUTUBE? Pay your taxes Mr. Trump! | 0
71 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump YOU can not us military as border police your a  uneducated moron who dont even know the LAW or a… https://t.co/0qn7m2pkWq | 0
72 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Try protecting your West Coast first! | 0
73 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump F off you sh*thole.  Resign.    So many HATE you !!!!!  You are the cheater - shithole - liar - racist - f-info moron !!!!! | 0
74 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump The Mexican government uses the US as a safety net | 2
75 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump .@realDonaldTrump \n\nI wish you’d protect our coming midterm elections from any meddling, the US fr… https://t.co/Z0vBcCMlpJ | 0
76 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump I wish our president had a brain but hes an idiot he can build hotels without going bankrupt now… https://t.co/1DbGjE0K11 | 0
77 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump Loony dunny | 0
78 | Donald J. Trump | WE WILL PROTECT OUR SOUTHERN BORDER! https://t.co/Z7fqQKcnez | @realDonaldTrump How dare you degrade America and its people like you do? Take a look in the mirror you worthless POS... | 0
